Sample Name,Lab Number,Date,Sample Label,UTM east,UTM north,Elevation,Temp C,pH,Li,Na,K,Ca,Mg,SiO2,B,Cl,F,SO4,HCO3,CO3,NH4,As,Rb,Cs,Sr,Ba,Fe,Mn
MC-1  09/06/1983  0900,,,,,,0,,8.4,3.2,1250,100,34,1.5,370,14,2000,2.2,120,44,,-0.5,1.2,,,,,,
MC-1  12/06/1983  0900,,,,,,0,,8.4,3.2,1240,100,34,1.5,370,14,2000,2.2,150,41,,-0.5,1,,,,,,
MC-1  16/06/1983,,,,,,0,,8.3,3.3,1240,100,34,1.5,370,14,2010,2.2,150,44,,-0.5,1,,,,,,
MC-1  19/06/1983,,,,,,0,,8.4,3.3,1240,100,34,1.5,360,14,2010,2.2,150,44,,-0.5,1,,,,,,
MC-1  22/06/1983,,,,,,0,,8.4,3.3,1270,110,33,1.7,400,14,2010,2.1,150,43,,0.3,0.9,,,,,,
MC-1  26/06/1983,,,,,,0,,8.3,3.3,1270,110,33,1.6,350,14,2010,2.1,160,42,,0.3,0.8,,,,,,
MC-1  29/06/1983,,,,,,0,,8.4,3.4,1270,110,33,1.6,350,14,2000,2.1,150,41,,0.3,0.7,,,,,,
MC-1  03/07/1983,,,,,,0,,8.4,3.4,1260,110,32,1.6,340,14,1990,2,150,41,,0.3,0.7,,,,,,
MC-1  04/09/1983,,,,,,0,,8.2,3.6,1360,110,53,0.7,280,15,2130,2.4,150,69,,0.3,1,,,,,,
MC-1  11/09/1983,,,,,,0,,8.3,3.5,1370,110,49,1,340,15,2110,2.5,120,61,,0.1,0.9,,,,,,
MC-1  18/09/1983,,,,,,0,,8.3,3.5,1370,120,50,1,360,15,2130,2.6,130,58,,0.1,1,,,,,,
MC-1  09/10/1983,,,,,,0,,8.4,3.5,1320,120,36,1.4,340,14,2040,2.5,130,39,,0.1,0.9,,,,,,
MC-1  16/10/1983,,,,,,0,,8.4,3.5,1300,120,36,1.5,330,14,2030,2.4,130,38,,0.1,0.9,,,,,,
MC-1  23/10/1983,,,,,,0,,8.3,3.5,1260,110,35,1.5,340,14,2030,2.5,140,38,,0.1,0.8,,,,,,
MC-1  05/12/1983  0900,,,,,,0,,8.5,3.4,1330,120,34,1.4,220,14,1430,2,88,29,,0.1,0.9,,,,,,
MC-1  05/12/1983,,,,,,0,,8.3,2.8,1040,90,26,1.1,270,11,2030,1.6,140,36,,0.2,0.7,,,,,,
MC-1  11/12/1983  0900,,,,,,0,,8.5,2.9,1098,92,27,1.1,280,12,1330,1.7,83,28,,-0.1,0.7,,,,,,
